N,0.10,rounded,mean,items:,1,
1,0.10,0.00,0.00,,,
2,0.20,0.00,0.00,,Instructions:,
3,0.30,0.00,0.00,,1. Enter the number of Likert-type items in the scale (typically 1) in cell F1,
4,0.40,0.00,0.00,,2. Enter the fractional part of the mean to test in cell B1,
5,0.50,1.00,0.20,,3. Look for your sample size in Column A,
6,0.60,1.00,0.17,,"4. The corresponding number in Column D is the correctly reported mean. Green=consistent, white=inconsistent",
7,0.70,1.00,0.14,,,
8,0.80,1.00,0.13,,,
9,0.90,1.00,0.11,,,
10,1.00,1.00,0.10,,,
11,1.10,1.00,0.09,,,
12,1.20,1.00,0.08,,,
13,1.30,1.00,0.08,,,
14,1.40,1.00,0.07,,,
15,1.50,2.00,0.13,,,
16,1.60,2.00,0.13,,,
17,1.70,2.00,0.12,,,
18,1.80,2.00,0.11,,,
19,1.90,2.00,0.11,,,
20,2.00,2.00,0.10,,,
21,2.10,2.00,0.10,,,
22,2.20,2.00,0.09,,,
23,2.30,2.00,0.09,,,
24,2.40,2.00,0.08,,,
25,2.50,3.00,0.12,,,
26,2.60,3.00,0.12,,,
27,2.70,3.00,0.11,,,
28,2.80,3.00,0.11,,,
29,2.90,3.00,0.10,,,
30,3.00,3.00,0.10,,,
31,3.10,3.00,0.10,,,
32,3.20,3.00,0.09,,,
33,3.30,3.00,0.09,,,
34,3.40,3.00,0.09,,,
35,3.50,4.00,0.11,,,
36,3.60,4.00,0.11,,,
37,3.70,4.00,0.11,,,
38,3.80,4.00,0.11,,,
39,3.90,4.00,0.10,,,
40,4.00,4.00,0.10,,,
41,4.10,4.00,0.10,,,
42,4.20,4.00,0.10,,,
43,4.30,4.00,0.09,,,
44,4.40,4.00,0.09,,,
45,4.50,5.00,0.11,,,
46,4.60,5.00,0.11,,,
47,4.70,5.00,0.11,,,
48,4.80,5.00,0.10,,,
49,4.90,5.00,0.10,,,
50,5.00,5.00,0.10,,,
51,5.10,5.00,0.10,,,
52,5.20,5.00,0.10,,,
53,5.30,5.00,0.09,,,
54,5.40,5.00,0.09,,,
55,5.50,6.00,0.11,,,
56,5.60,6.00,0.11,,,
57,5.70,6.00,0.11,,,
58,5.80,6.00,0.10,,,
59,5.90,6.00,0.10,,,
60,6.00,6.00,0.10,,,
61,6.10,6.00,0.10,,,
62,6.20,6.00,0.10,,,
63,6.30,6.00,0.10,,,
64,6.40,6.00,0.09,,,
65,6.50,7.00,0.11,,,
66,6.60,7.00,0.11,,,
67,6.70,7.00,0.10,,,
68,6.80,7.00,0.10,,,
69,6.90,7.00,0.10,,,
70,7.00,7.00,0.10,,,
71,7.10,7.00,0.10,,,
72,7.20,7.00,0.10,,,
73,7.30,7.00,0.10,,,
74,7.40,7.00,0.09,,,
75,7.50,8.00,0.11,,,
76,7.60,8.00,0.11,,,
77,7.70,8.00,0.10,,,
78,7.80,8.00,0.10,,,
79,7.90,8.00,0.10,,,
80,8.00,8.00,0.10,,,
81,8.10,8.00,0.10,,,
82,8.20,8.00,0.10,,,
83,8.30,8.00,0.10,,,
84,8.40,8.00,0.10,,,
85,8.50,9.00,0.11,,,
86,8.60,9.00,0.10,,,
87,8.70,9.00,0.10,,,
88,8.80,9.00,0.10,,,
89,8.90,9.00,0.10,,,
90,9.00,9.00,0.10,,,
91,9.10,9.00,0.10,,,
92,9.20,9.00,0.10,,,
93,9.30,9.00,0.10,,,
94,9.40,9.00,0.10,,,
95,9.50,10.00,0.11,,,
96,9.60,10.00,0.10,,,
97,9.70,10.00,0.10,,,
98,9.80,10.00,0.10,,,
99,9.90,10.00,0.10,,,
100,10.00,10.00,0.10,,,
